# name: US-counties-internet
# source: https://raw.githubusercontent.com/eepsmedia/eeps-data-zoo/main/cages/US-counties-internet.csv
# importDate: 2026-01-29T15:54:27.920Z
# description: internet access in US Counties, probably 2023 
# attribute -- name: NAME, description: county or region name, type: categorical, editable: true
# attribute -- name: population, type: numeric, editable: true
# attribute -- name: median_income, type: numeric, editable: true
# attribute -- name: with_internet, description: percent of households with internet, type: numeric, editable: true
# attribute -- name: type, description: urban or rural...note that "mostly urban" means that most of the _people_ live in cities, editable: true
NAME,population,median_income,with_internet,type
"Floyd, Georgia",96824,46367,80.0213285,Mostly Urban
"Forsyth, Georgia",219880,101743,93.9477435,Mostly Urban
"Franklin, Georgia",22514,40198,70.7284768,Mostly Rural
"Fulton, Georgia",1021902,64787,88.4909604,Mostly Urban
"Gilmer, Georgia",29922,49389,77.1146415,Mostly Rural
"Glascock, Georgia",3009,41686,65.9728507,Rural
"Glynn, Georgia",83974,50672,81.7656986,Mostly Urban
"Gordon, Georgia",56790,44313,76.1653691,Mostly Rural
"Grady, Georgia",24926,42348,72.6789864,Mostly Rural
"Greene, Georgia",16976,49755,71.530554,Mostly Rural
"Gwinnett, Georgia",902298,67769,89.9249803,Mostly Urban
"Habersham, Georgia",44289,49140,71.6222442,Mostly Rural
"Hall, Georgia",195961,59898,84.3847273,Mostly Urban
"Hancock, Georgia",8535,31984,51.7886994,Mostly Rural
"Haralson, Georgia",28956,46353,75.9705248,Mostly Rural
"Harris, Georgia",33590,74261,86.0585623,Mostly Rural
"Hart, Georgia",25631,41358,71.0849386,Mostly Rural
"Heard, Georgia",11677,48094,69.5923368,Rural
"Henry, Georgia",221307,68609,91.034324,Mostly Urban
"Houston, Georgia",151682,58770,83.8171909,Mostly Urban
"Irwin, Georgia",9268,32339,60.1640839,Mostly Rural
"Jackson, Georgia",65755,62495,80.7933194,Mostly Rural
"Jasper, Georgia",13784,43284,73.1275801,Mostly Rural
"Jeff Davis, Georgia",14991,36531,62.3149905,Mostly Rural
"Jefferson, Georgia",15772,34300,57.0868247,Mostly Rural
"Jenkins, Georgia",8827,27311,57.4068642,Mostly Rural
"Johnson, Georgia",9730,39813,64.8616483,Mostly Rural
"Jones, Georgia",28548,53155,79.9524263,Mostly Rural
"Lamar, Georgia",18513,41464,73.0527638,Mostly Rural
"Lanier, Georgia",10366,39104,63.3995704,Mostly Rural
"Laurens, Georgia",47418,37369,63.1496246,Mostly Rural
"Lee, Georgia",29348,65420,84.1413946,Mostly Urban
"Liberty, Georgia",62108,45959,85.8557163,Mostly Urban
"Lincoln, Georgia",7799,41014,56.8633178,Rural
"Long, Georgia",18156,55439,83.5029459,Mostly Rural
"Lowndes, Georgia",114582,41390,76.2897806,Mostly Urban
"Lumpkin, Georgia",31951,47488,81.2344407,Mostly Rural
"McDuffie, Georgia",21498,39199,61.80427,Mostly Rural
"McIntosh, Georgia",14120,47114,78.8828112,Mostly Rural
"Macon, Georgia",13480,31999,60.6248663,Mostly Rural
"Madison, Georgia",28900,51701,75.2987304,Mostly Rural
"Marion, Georgia",8484,44309,63.5845092,Rural
"Meriwether, Georgia",21113,36351,63.0597473,Mostly Rural
"Miller, Georgia",5836,42927,52.9565217,Rural
"Mitchell, Georgia",22432,37027,67.6004563,Mostly Rural
"Monroe, Georgia",27010,54050,76.2317658,Mostly Rural
"Montgomery, Georgia",9036,40728,74.3336624,Mostly Rural
"Morgan, Georgia",18235,62530,77.328726,Mostly Rural
"Murray, Georgia",39557,45238,77.6152262,Mostly Rural
"Muscogee, Georgia",196670,45389,80.8060446,Mostly Urban
"Newton, Georgia",106497,53309,85.9908262,Mostly Urban
"Oconee, Georgia",37017,88308,90.3459864,Mostly Rural
"Oglethorpe, Georgia",14784,44927,68.6354741,Mostly Rural
"Paulding, Georgia",155840,66467,89.812747,Mostly Urban
"Peach, Georgia",26966,42802,76.2743739,Mostly Urban
"Pickens, Georgia",30832,64512,86.2258255,Mostly Rural
"Pierce, Georgia",19164,44167,69.7115385,Mostly Rural
"Pike, Georgia",18082,58765,78.0379954,Mostly Rural
"Polk, Georgia",41621,43491,77.7296649,Mostly Rural
"Pulaski, Georgia",11295,38770,69.2428609,Mostly Rural
"Putnam, Georgia",21503,51245,77.5635104,Mostly Rural
"Quitman, Georgia",2276,30000,59.1006424,Mostly Rural
"Rabun, Georgia",16457,40902,73.1982325,Mostly Rural
"Randolph, Georgia",7087,30914,72.2859327,Mostly Rural
"Richmond, Georgia",201463,40644,77.1232592,Mostly Urban
"Rockdale, Georgia",89011,57049,84.148619,Mostly Urban
"Schley, Georgia",5211,41276,71.9765583,Rural
"Screven, Georgia",13990,37588,71.5997717,Mostly Rural
"Seminole, Georgia",8437,34338,65.924812,Mostly Rural
"Spalding, Georgia",64719,42671,73.2153955,Mostly Urban
"Stephens, Georgia",25676,43416,73.9966202,Mostly Rural
"Stewart, Georgia",6042,25385,56.6812705,Rural
"Sumter, Georgia",30352,36205,69.5356353,Mostly Urban
"Talbot, Georgia",6378,36213,57.483731,Mostly Rural
"Taliaferro, Georgia",1665,31797,49.3464052,Rural
"Tattnall, Georgia",25353,38034,73.6068957,Mostly Rural
"Taylor, Georgia",8193,33442,63.922025,Rural
"Telfair, Georgia",16115,30288,31.5757453,Mostly Urban
"Terrell, Georgia",8859,38015,76.0086233,Mostly Rural
"Thomas, Georgia",44730,40112,79.8409405,Mostly Urban
"Tift, Georgia",40510,42790,66.5692655,Mostly Urban
"Toombs, Georgia",27048,36575,71.0852639,Mostly Rural
"Towns, Georgia",11417,43927,75.9053799,Rural
"Treutlen, Georgia",6777,37606,61.1510791,Mostly Rural
"Troup, Georgia",69774,43850,75.5786338,Mostly Urban
"Turner, Georgia",7962,38341,65.7294079,Mostly Urban
"Twiggs, Georgia",8284,33037,57.6377433,Rural
"Union, Georgia",22775,44978,77.8941566,Rural
"Upson, Georgia",26216,36529,70.1783614,Mostly Urban
"Walker, Georgia",68824,43650,76.7318838,Mostly Urban
"Walton, Georgia",90132,58370,83.4452189,Mostly Urban
"Ware, Georgia",35599,39887,72.7141932,Mostly Urban
"Warren, Georgia",5346,34730,48.2847341,Rural
"Washington, Georgia",20461,38092,67.9032477,Mostly Rural
"Wayne, Georgia",29767,44869,74.1331015,Mostly Rural
"Webster, Georgia",2613,35755,62.7611262,Rural
"Wheeler, Georgia",7939,27626,34.021683,Rural
"White, Georgia",28928,46288,75.0949258,Mostly Rural
"Whitfield, Georgia",103849,46970,79.4439974,Mostly Urban
"Wilcox, Georgia",8846,36077,55.9861857,Rural
"Wilkes, Georgia",9884,35106,48.38876,Mostly Rural
"Wilkinson, Georgia",9078,37583,62.3725672,Rural
"Worth, Georgia",20656,46076,74.1975616,Mostly Rural
"Hawaii, Hawaii",197658,59297,80.8396188,Mostly Urban
"Honolulu, Hawaii",987638,82906,88.1466977,Mostly Urban
"Kalawao, Hawaii",75,61875,63.8297872,Rural
"Kauai, Hawaii",71377,78482,85.7485349,Mostly Urban
"Maui, Hawaii",165281,77117,86.7892545,Mostly Urban
"Ada, Idaho",446052,63137,85.4510759,Mostly Urban
"Adams, Idaho",4019,45319,78.8059701,Rural
"Bannock, Idaho",85065,49739,85.8694595,Mostly Urban
"Bear Lake, Idaho",5962,54265,84.5106383,Rural
"Benewah, Idaho",9086,46507,74.3574417,Mostly Rural
"Bingham, Idaho",45551,51288,84.2946114,Mostly Rural
"Blaine, Idaho",21994,51968,87.3870574,Mostly Urban
"Boise, Idaho",7163,53942,81.6720257,Rural
"Bonner, Idaho",42711,48710,78.7306642,Mostly Rural
"Bonneville, Idaho",112397,56609,89.2769231,Mostly Urban
"Boundary, Idaho",11549,43507,78.1976113,Mostly Rural
"Butte, Idaho",2602,42250,77.3333333,Rural
"Camas, Idaho",886,38393,66.6666667,Rural
"Canyon, Idaho",212230,49143,82.607591,Mostly Urban
"Caribou, Idaho",6918,59611,87.0511841,Mostly Rural
"Cassia, Idaho",23615,50918,85.8426113,Mostly Rural
"Clark, Idaho",1077,35341,72.1311475,Rural
"Clearwater, Idaho",8640,42348,77.3401673,Mostly Rural
"Custer, Idaho",4141,39957,81.6013629,Rural
"Elmore, Idaho",26433,46715,81.7403986,Mostly Urban
"Franklin, Idaho",13279,56613,86.9585468,Mostly Rural
"Fremont, Idaho",12965,53311,81.875145,Mostly Rural
"Gem, Idaho",17052,43001,80.0546863,Mostly Urban
"Gooding, Idaho",15169,48638,76.5639417,Mostly Rural
"Idaho, Idaho",16337,39113,73.1982679,Mostly Rural
"Jefferson, Idaho",27969,60162,89.3604718,Mostly Rural
"Jerome, Idaho",23431,49306,76.4052121,Mostly Rural
"Kootenai, Idaho",153605,54457,86.9315834,Mostly Urban
"Latah, Idaho",39239,45466,88.3515776,Mostly Urban
"Lemhi, Idaho",7798,37921,80.7269653,Mostly Rural
"Lewis, Idaho",3845,41326,68.1985294,Rural
"Lincoln, Idaho",5321,48222,73.918198,Rural
"Madison, Idaho",38705,36031,94.1835294,Mostly Urban
"Minidoka, Idaho",20615,50663,82.8410496,Mostly Urban
"Nez Perce, Idaho",40155,54174,82.2966507,Mostly Urban
"Oneida, Idaho",4326,51058,86.8138801,Rural
"Owyhee, Idaho",11455,40430,72.8941176,Mostly Rural
"Payette, Idaho",23041,50289,80.8850365,Mostly Urban
"Power, Idaho",7713,49985,81.5575358,Mostly Urban
"Shoshone, Idaho",12526,39091,75.0361011,Mostly Rural
"Teton, Idaho",11080,68818,87.5,Rural
"Twin Falls, Idaho",83666,50778,84.7542105,Mostly Urban
"Valley, Idaho",10401,55299,90.8985842,Rural
"Washington, Idaho",10025,37206,73.4444998,Mostly Urban
"Adams, Illinois",66427,51398,79.5421245,Mostly Urban
"Alexander, Illinois",6532,34709,49.6340938,Mostly Rural
"Bond, Illinois",16712,58097,77.5490511,Mostly Rural
"Boone, Illinois",53606,66898,87.336501,Mostly Urban
"Brown, Illinois",6675,58762,75.8984188,Mostly Urban
"Bureau, Illinois",33381,55940,80.5795002,Mostly Rural
"Calhoun, Illinois",4858,54392,68.531856,Rural
"Carroll, Illinois",14562,51228,80.8678196,Mostly Rural
"Cass, Illinois",12665,51997,77.3089172,Mostly Rural
"Champaign, Illinois",209448,51692,87.8204584,Mostly Urban
"Christian, Illinois",33231,52415,79.6972523,Mostly Urban
"Clark, Illinois",15836,54158,76.2769412,Mostly Rural
"Clay, Illinois",13338,48691,80.1880099,Mostly Rural
"Clinton, Illinois",37628,65010,79.0274841,Mostly Urban
"Coles, Illinois",51736,44071,82.2555466,Mostly Urban
"Cook, Illinois",5223719,62088,83.4732333,Mostly Urban
"Crawford, Illinois",19088,49233,78.3222266,Mostly Rural
"Cumberland, Illinois",10865,53376,76.561777,Rural
"DeKalb, Illinois",104200,61086,89.2846723,Mostly Urban
"De Witt, Illinois",16042,55591,81.2546901,Mostly Urban
"Douglas, Illinois",19714,54218,75.5447624,Mostly Rural
"DuPage, Illinois",931743,88711,91.348739,Mostly Urban
"Edgar, Illinois",17539,51109,76.6403162,Mostly Rural
"Edwards, Illinois",6507,49766,80.6556196,Rural
"Effingham, Illinois",34174,56293,82.8697897,Mostly Rural
"Fayette, Illinois",21724,44432,70.7457983,Mostly Rural
"Ford, Illinois",13398,51120,81.0866932,Mostly Urban
"Franklin, Illinois",39127,41414,72.6371243,Mostly Urban
"Fulton, Illinois",35418,50180,78.3463449,Mostly Rural
"Gallatin, Illinois",5157,42500,72.2558341,Rural
"Greene, Illinois",13218,46052,72.3676324,Mostly Rural
"Grundy, Illinois",50509,74140,86.6068667,Mostly Urban
"Hamilton, Illinois",8221,56862,75.1481043,Mostly Rural
"Hancock, Illinois",18112,51549,74.3800539,Mostly Rural
"Hardin, Illinois",4009,43081,72.6008345,Rural
"Henderson, Illinois",6884,52712,78.5284281,Mostly Rural
"Henry, Illinois",49464,57250,79.4036858,Mostly Rural
"Iroquois, Illinois",28169,51825,80.2529926,Mostly Rural
"Jackson, Illinois",58551,37802,81.0729939,Mostly Urban
"Jasper, Illinois",9598,54951,76.0667396,Mostly Rural
"Jefferson, Illinois",38169,47617,80.2601327,Mostly Rural
"Jersey, Illinois",22069,56747,74.5412579,Mostly Rural
"Jo Daviess, Illinois",21834,57083,81.410125,Mostly Rural
"Johnson, Illinois",12602,50923,67.779825,Rural
"Kane, Illinois",530839,76912,89.2047178,Mostly Urban
"Kankakee, Illinois",111061,57981,80.3595506,Mostly Urban
"Kendall, Illinois",124626,91764,93.4640038,Mostly Urban
"Knox, Illinois",50999,43709,76.5578493,Mostly Urban
"Lake, Illinois",703619,86244,90.6903937,Mostly Urban
"LaSalle, Illinois",110401,56243,83.1489114,Mostly Urban
"Lawrence, Illinois",16189,45654,74.5605469,Mostly Rural
"Lee, Illinois",34527,57901,81.925688,Mostly Rural
"Livingston, Illinois",36324,56200,82.7444134,Mostly Urban
"Logan, Illinois",29207,57899,80.481972,Mostly Urban
"McDonough, Illinois",30875,43724,78.9585547,Mostly Urban
"McHenry, Illinois",307789,84803,92.4981218,Mostly Urban
"McLean, Illinois",173219,65813,87.416678,Mostly Urban
"Macon, Illinois",106512,50444,81.5088523,Mostly Urban
"Macoupin, Illinois",45719,53778,81.0568932,Mostly Rural
"Madison, Illinois",265670,57890,84.2877492,Mostly Urban
"Marion, Illinois",38084,46102,79.8340979,Mostly Urban
"Marshall, Illinois",11794,55901,76.5583487,Rural
"Mason, Illinois",13778,45596,78.8286046,Mostly Rural
"Massac, Illinois",14430,42604,66.8607553,Mostly Rural
"Menard, Illinois",12367,69102,82.9742209,Mostly Rural
"Mercer, Illinois",15693,58011,81.2801932,Mostly Rural
"Monroe, Illinois",33936,81268,85.8491273,Mostly Urban
"Montgomery, Illinois",29009,50304,75.9590793,Mostly Urban
"Morgan, Illinois",34426,48508,79.3782458,Mostly Urban
"Moultrie, Illinois",14703,59623,78.2233503,Mostly Rural
"Ogle, Illinois",51328,59707,82.3979714,Mostly Urban
"Peoria, Illinois",184463,54770,79.9114479,Mostly Urban
"Perry, Illinois",21384,48298,77.520125,Mostly Urban
"Piatt, Illinois",16427,69271,86.5820896,Mostly Rural
"Pike, Illinois",15754,42664,73.7858128,Mostly Rural
"Pope, Illinois",4249,40671,62.0437956,Rural
"Pulaski, Illinois",5611,33799,54.7630005,Rural
"Putnam, Illinois",5746,65034,81.0438413,Rural
"Randolph, Illinois",32546,52107,76.9055841,Mostly Urban
"Richland, Illinois",15881,48724,79.5279235,Mostly Urban
"Rock Island, Illinois",145275,52630,81.8190865,Mostly Urban
"St. Clair, Illinois",263463,53681,77.7456507,Mostly Urban
"Saline, Illinois",24231,41167,72.2655469,Mostly Urban
"Sangamon, Illinois",197661,60466,84.2794133,Mostly Urban
"Schuyler, Illinois",7064,46151,80.606488,Mostly Rural
"Scott, Illinois",5047,53973,81.265952,Rural
"Shelby, Illinois",21832,51157,75.2037379,Mostly Rural
"Stark, Illinois",5500,52260,74.978204,Rural
"Stephenson, Illinois",45433,48016,80.1978683,Mostly Urban
"Tazewell, Illinois",133852,62342,83.8280263,Mostly Urban
"Union, Illinois",17127,49182,67.431399,Mostly Rural
"Vermilion, Illinois",78407,45384,74.9230276,Mostly Urban
"Wabash, Illinois",11573,51432,82.0261438,Mostly Urban
"Warren, Illinois",17338,49607,83.8714499,Mostly Urban
"Washington, Illinois",14155,59469,78.6778243,Mostly Rural
"Wayne, Illinois",16487,49764,72.8621908,Mostly Rural
"White, Illinois",14025,47773,76.3400197,Mostly Rural
"Whiteside, Illinois",56396,53828,82.3181701,Mostly Urban
"Will, Illinois",688697,83504,90.1969734,Mostly Urban
"Williamson, Illinois",67299,49053,77.0607996,Mostly Urban
"Winnebago, Illinois",286174,52743,84.3422798,Mostly Urban
"Woodford, Illinois",38817,71867,84.4706852,Mostly Rural
"Adams, Indiana",35195,51713,73.3167682,Mostly Rural
"Allen, Indiana",370016,53402,84.4139373,Mostly Urban
"Bartholomew, Indiana",81893,59045,81.3066406,Mostly Urban
"Benton, Indiana",8667,46188,79.0772847,Rural
"Blackford, Indiana",12129,42217,76.8229665,Mostly Rural
"Boone, Indiana",64321,80567,88.8537229,Mostly Urban
"Brown, Indiana",15034,61455,79.632365,Rural
"Carroll, Indiana",19994,56429,78.3883249,Mostly Rural
"Cass, Indiana",38084,47545,78.3103777,Mostly Urban
"Clark, Indiana",115702,54240,79.1688312,Mostly Urban
"Clay, Indiana",26268,53021,77.773549,Mostly Rural
"Clinton, Indiana",32301,52488,79.5202798,Mostly Urban
"Crawford, Indiana",10581,43875,64.5466156,Rural
"Daviess, Indiana",32937,51032,68.6958045,Mostly Rural
"Dearborn, Indiana",49501,65096,84.5720721,Mostly Rural
"Decatur, Indiana",26552,54622,78.8297362,Mostly Rural
"DeKalb, Indiana",42704,53808,82.1549824,Mostly Urban
"Delaware, Indiana",115616,42705,81.8327974,Mostly Urban
"Dubois, Indiana",42418,58994,81.7280967,Mostly Urban
"Elkhart, Indiana",203604,55399,81.0988677,Mostly Urban
"Fayette, Indiana",23259,43317,71.2688127,Mostly Urban
"Floyd, Indiana",76809,61754,79.9700232,Mostly Urban
"Fountain, Indiana",16486,49887,77.4910905,Mostly Rural
"Franklin, Indiana",22842,58382,76.4638609,Mostly Rural
"Fulton, Indiana",20212,49333,77.9173009,Mostly Rural
"Gibson, Indiana",33596,52620,79.2660828,Mostly Rural
"Grant, Indiana",66944,42593,77.8339267,Mostly Urban
"Greene, Indiana",32295,49177,72.2595778,Mostly Rural
"Hamilton, Indiana",316095,94644,94.7906516,Mostly Urban
"Hancock, Indiana",73830,73142,87.9780259,Mostly Urban
"Harrison, Indiana",39712,57132,75.2879868,Mostly Rural
"Hendricks, Indiana",160940,78355,90.2940873,Mostly Urban
"Henry, Indiana",48483,48235,76.5536723,Mostly Urban
"Howard, Indiana",82387,50869,81.3198263,Mostly Urban
"Huntington, Indiana",36378,52208,80.3917582,Mostly Rural
"Jackson, Indiana",43938,49506,76.0957841,Mostly Urban
"Jasper, Indiana",33449,59574,82.5584177,Mostly Rural
"Jay, Indiana",20993,44772,77.1751135,Mostly Rural
"Jefferson, Indiana",32237,51119,80.4530136,Mostly Urban
"Jennings, Indiana",27727,49801,76.1891359,Mostly Rural
"Johnson, Indiana",151564,68712,87.7404665,Mostly Urban
"Knox, Indiana",37409,46457,79.2978937,Mostly Urban
"Kosciusko, Indiana",78806,58402,83.0160386,Mostly Urban
"LaGrange, Indiana",38942,60675,62.0498386,Mostly Rural
"Lake, Indiana",486849,54249,81.3429898,Mostly Urban
"LaPorte, Indiana",110552,51101,80.1230654,Mostly Urban
"Lawrence, Indiana",45619,52092,75.4097474,Mostly Rural
"Madison, Indiana",129505,47436,81.1423126,Mostly Urban
"Marion, Indiana",944523,46692,80.3117878,Mostly Urban
"Marshall, Indiana",46595,54229,75.2102059,Mostly Rural
"Martin, Indiana",10210,51224,73.7970462,Mostly Rural
"Miami, Indiana",35901,47460,77.7485956,Mostly Urban
"Monroe, Indiana",145403,47075,88.8866882,Mostly Urban
"Montgomery, Indiana",38276,53610,81.2782398,Mostly Rural
"Morgan, Indiana",69727,62462,82.3073363,Mostly Urban
"Newton, Indiana",14018,53146,82.919813,Rural
"Noble, Indiana",47451,55033,81.0060807,Mostly Rural
"Ohio, Indiana",5887,61148,77.7954636,Rural
"Orange, Indiana",19547,45341,69.8642304,Mostly Rural
"Owen, Indiana",20878,48667,71.3168488,Rural
"Parke, Indiana",16996,48788,68.364524,Mostly Rural
"Perry, Indiana",19141,51064,75.0301407,Mostly Rural
"Pike, Indiana",12411,52527,68.6098655,Rural
"Porter, Indiana",168041,68044,85.4398224,Mostly Urban
"Posey, Indiana",25589,62583,80.4815725,Mostly Rural
"Pulaski, Indiana",12660,48370,77.1730769,Mostly Rural
"Putnam, Indiana",37559,56169,81.7769179,Mostly Rural
"Randolph, Indiana",25076,45601,78.1235086,Mostly Rural
"Ripley, Indiana",28425,56295,79.9820869,Mostly Rural
"Rush, Indiana",16704,50535,69.5762082,Mostly Rural
"St. Joseph, Indiana",269240,50938,81.3534043,Mostly Urban
"Scott, Indiana",23743,47123,72.8009773,Mostly Rural
"Shelby, Indiana",44399,59214,79.1706629,Mostly Rural
"Spencer, Indiana",20526,56998,74.5961278,Rural
"Starke, Indiana",22941,48895,76.4281626,Mostly Rural
"Steuben, Indiana",34474,56101,84.6354903,Mostly Rural
"Sullivan, Indiana",20792,46517,69.1708836,Mostly Rural
"Switzerland, Indiana",10628,47929,73.4233186,Rural
"Tippecanoe, Indiana",189294,51844,88.7906586,Mostly Urban
"Tipton, Indiana",15218,55479,81.0802224,Mostly Rural
"Union, Indiana",7153,48227,74.2094167,Rural
"Vanderburgh, Indiana",181313,46943,81.3622884,Mostly Urban
"Vermillion, Indiana",15560,48377,81.1819831,Mostly Rural
"Vigo, Indiana",107693,43859,80.8974543,Mostly Urban
"Wabash, Indiana",31631,50637,79.6737864,Mostly Rural
"Warren, Indiana",8247,61148,80.3486998,Mostly Rural
"Warrick, Indiana",61928,70648,85.8161289,Mostly Urban
"Washington, Indiana",27827,47078,70.4225352,Mostly Rural
"Wayne, Indiana",66613,44228,75.7017775,Mostly Urban
"Wells, Indiana",27947,56265,80.4027957,Mostly Rural
"White, Indiana",24217,55086,80.2154951,Mostly Rural
"Whitley, Indiana",33649,61153,83.4735754,Mostly Rural
"Adair, Iowa",7124,51859,77.5829082,Rural
"Adams, Iowa",3726,49229,78.0621572,Rural
"Allamakee, Iowa",13880,51057,74.9202619,Mostly Rural
"Appanoose, Iowa",12510,41111,72.0642541,Mostly Rural
"Audubon, Iowa",5637,50397,78.3339559,Rural
"Benton, Iowa",25626,65475,81.4260563,Mostly Rural
"Black Hawk, Iowa",133009,52688,82.9715343,Mostly Urban
"Boone, Iowa",26399,61111,84.5703839,Mostly Rural
"Bremer, Iowa",24782,68023,83.5889411,Mostly Rural
"Buchanan, Iowa",21125,61409,80.2261994,Mostly Rural
"Buena Vista, Iowa",20260,54556,81.218543,Mostly Urban
"Butler, Iowa",14735,55999,77.8595425,Rural
"Calhoun, Iowa",9780,50800,79.8377476,Rural
"Carroll, Iowa",20344,57674,81.2197371,Mostly Rural
"Cass, Iowa",13191,48178,78.6887995,Mostly Rural
"Cedar, Iowa",18445,65791,82.7060694,Mostly Rural
"Cerro Gordo, Iowa",42984,52902,81.0753136,Mostly Urban
"Cherokee, Iowa",11468,54658,82.6869028,Mostly Rural
"Chickasaw, Iowa",12099,55385,78.6168368,Mostly Rural
"Clarke, Iowa",9282,51571,82.0965231,Mostly Urban
"Clay, Iowa",16313,47874,82.1326433,Mostly Urban
"Clayton, Iowa",17672,52828,76.529012,Mostly Rural
"Clinton, Iowa",47218,50156,79.4707705,Mostly Urban
"Crawford, Iowa",17132,53609,77.2804973,Mostly Rural
"Dallas, Iowa",84002,84790,91.1269233,Mostly Urban
"Davis, Iowa",8885,58464,65.474339,Rural
"Decatur, Iowa",8044,42614,74.1985683,Rural
"Delaware, Iowa",17258,61179,81.942643,Mostly Rural
"Des Moines, Iowa",39600,49977,78.0344418,Mostly Urban
"Dickinson, Iowa",17056,58099,85.1406618,Mostly Urban
"Dubuque, Iowa",96802,61321,85.4917819,Mostly Urban
"Emmet, Iowa",9551,48542,76.7883212,Mostly Urban
"Fayette, Iowa",19929,50015,78.8334336,Mostly Rural
"Floyd, Iowa",15858,48110,76.9048676,Mostly Rural
"Franklin, Iowa",10245,53742,72.6904762,Mostly Rural
"Fremont, Iowa",6968,54281,80.2675585,Rural
"Greene, Iowa",9003,54050,81.8205194,Mostly Rural
"Grundy, Iowa",12341,66965,83.2976445,Rural
"Guthrie, Iowa",10674,57075,81.0097794,Rural
"Hamilton, Iowa",15110,56273,78.8756928,Mostly Rural
"Hancock, Iowa",10888,61167,79.8992866,Mostly Rural
"Hardin, Iowa",17127,53872,76.7247387,Mostly Rural
"Harrison, Iowa",14143,60063,77.9295589,Mostly Rural
"Henry, Iowa",19926,52428,79.3362717,Mostly Rural
"Howard, Iowa",9264,52742,77.1458118,Mostly Rural
"Humboldt, Iowa",9566,52219,79.6730633,Mostly Urban
"Ida, Iowa",6916,55969,77.641196,Rural
"Iowa, Iowa",16207,58570,78.7954646,Mostly Rural
"Jackson, Iowa",19395,54070,78.436134,Mostly Rural
"Jasper, Iowa",36891,55727,80.0522409,Mostly Rural
"Jefferson, Iowa",18077,43378,81.1155029,Mostly Urban
"Johnson, Iowa",147001,61640,91.4086275,Mostly Urban
"Jones, Iowa",20568,56012,78.9980497,Mostly Rural
"Keokuk, Iowa",10200,51043,76.4370438,Rural
"Kossuth, Iowa",15075,54146,79.1029103,Mostly Rural
"Lee, Iowa",34541,48571,77.1954574,Mostly Urban
"Linn, Iowa",222121,64862,86.770519,Mostly Urban
"Louisa, Iowa",11223,53943,78.7013585,Rural
"Lucas, Iowa",8597,50206,77.7320154,Mostly Rural
"Lyon, Iowa",11769,64352,83.6227742,Rural
"Madison, Iowa",15890,64512,82.3902362,Mostly Rural
"Mahaska, Iowa",22208,52950,82.2176917,Mostly Urban
"Marion, Iowa",33207,58492,80.7120324,Mostly Urban
"Marshall, Iowa",40271,54027,77.7350372,Mostly Urban
"Mills, Iowa",14957,69177,84.7861106,Mostly Rural
"Mitchell, Iowa",10631,55553,79.3495565,Mostly Rural
"Monona, Iowa",8796,45252,78.4357266,Mostly Rural
"Monroe, Iowa",7863,49549,76.6596576,Mostly Rural
"Montgomery, Iowa",10155,47648,81.3603663,Mostly Urban
"Muscatine, Iowa",42950,57348,80.3942912,Mostly Urban
"O'Brien, Iowa",13911,53045,81.545349,Mostly Rural
"Osceola, Iowa",6115,58125,83.6461126,Mostly Rural
"Page, Iowa",15363,49974,79.9145975,Mostly Urban
"Palo Alto, Iowa",9055,52462,80.0629591,Mostly Rural
"Plymouth, Iowa",25039,64296,85.1309936,Mostly Rural
"Pocahontas, Iowa",6898,49877,79.6567863,Rural
"Polk, Iowa",474274,66044,87.6508139,Mostly Urban
"Pottawattamie, Iowa",93503,57467,81.1691657,Mostly Urban
"Poweshiek, Iowa",18605,53520,81.8252832,Mostly Rural
"Ringgold, Iowa",4984,52005,75.7135704,Rural
"Sac, Iowa",9868,54958,79.2076941,Rural
"Scott, Iowa",172288,58803,82.0544573,Mostly Urban
"Shelby, Iowa",11694,55489,80.4201348,Mostly Rural
"Sioux, Iowa",34825,67178,88.4596416,Mostly Rural
"Story, Iowa",96922,54554,92.7805691,Mostly Urban
"Tama, Iowa",17136,55898,79.4818653,Mostly Rural
"Taylor, Iowa",6201,48717,76.5283019,Rural
"Union, Iowa",12453,47518,78.2248749,Mostly Urban
"Van Buren, Iowa",7223,47083,67.9008034,Rural
"Wapello, Iowa",35315,45233,77.1327507,Mostly Urban
"Warren, Iowa",49361,74383,86.2545493,Mostly Urban
"Washington, Iowa",22143,61769,81.2155963,Mostly Rural
"Wayne, Iowa",6413,45017,72.0119895,Rural
"Webster, Iowa",36757,44261,79.2806418,Mostly Urban
"Winnebago, Iowa",10571,51002,80.9554832,Mostly Rural
"Winneshiek, Iowa",20401,62820,82.4375381,Mostly Rural
"Woodbury, Iowa",102398,55483,81.0930083,Mostly Urban
"Worth, Iowa",7489,54329,78.7381703,Rural
"Wright, Iowa",12804,50198,74.6045694,Mostly Rural
"Allen, Kansas",12630,42679,76.0824352,Mostly Rural
"Anderson, Kansas",7852,46274,75.1710655,Mostly Rural
"Atchison, Kansas",16363,48667,75.9364548,Mostly Urban
"Barber, Kansas",4733,50613,82.244898,Rural
"Barton, Kansas",26791,50198,78.3786265,Mostly Urban
"Bourbon, Kansas",14702,40733,69.8706746,Mostly Urban
"Brown, Kansas",9664,48547,77.1004098,Mostly Rural
"Butler, Kansas",66468,63272,83.8066441,Mostly Urban
"Chase, Kansas",2645,46295,72.303207,Rural
